Timestamp,Video Title,Views,View Gain
2026-08-05 19:00:35,東京真中 - ポッペンキュート feat. 重音テト,7228,0
2026-08-05 20:00:36,東京真中 - ポッペンキュート feat. 重音テト,10999,3771
2026-08-05 21:00:41,東京真中 - ポッペンキュート feat. 重音テト,14838,3839
2026-08-05 22:00:42,東京真中 - ポッペンキュート feat. 重音テト,17786,2948
2026-08-05 23:00:35,東京真中 - ポッペンキュート feat. 重音テト,21137,3351
2026-08-06 00:00:42,東京真中 - ポッペンキュート feat. 重音テト,26048,4911
2026-08-06 01:00:43,東京真中 - ポッペンキュート feat. 重音テト,30250,4202
2026-08-06 02:00:38,東京真中 - ポッペンキュート feat. 重音テト,34137,3887
2026-08-06 03:00:35,東京真中 - ポッペンキュート feat. 重音テト,37134,2997
2026-08-06 04:00:38,東京真中 - ポッペンキュート feat. 重音テト,39929,2795
2026-08-06 05:00:34,東京真中 - ポッペンキュート feat. 重音テト,41884,1955
2026-08-06 06:00:42,東京真中 - ポッペンキュート feat. 重音テト,43735,1851
2026-08-06 07:00:39,東京真中 - ポッペンキュート feat. 重音テト,45570,1835
2026-08-06 08:00:32,東京真中 - ポッペンキュート feat. 重音テト,47306,1736
2026-08-06 09:00:30,東京真中 - ポッペンキュート feat. 重音テト,49278,1972
2026-08-06 10:00:35,東京真中 - ポッペンキュート feat. 重音テト,51313,2035
2026-08-06 11:00:34,東京真中 - ポッペンキュート feat. 重音テト,53148,1835
2026-08-06 12:00:32,東京真中 - ポッペンキュート feat. 重音テト,54908,1760
2026-08-06 13:00:34,東京真中 - ポッペンキュート feat. 重音テト,56527,1619
2026-08-06 14:00:33,東京真中 - ポッペンキュート feat. 重音テト,58116,1589
2026-08-06 15:00:39,東京真中 - ポッペンキュート feat. 重音テト,59839,1723
2026-08-06 16:00:47,東京真中 - ポッペンキュート feat. 重音テト,61422,1583
2026-08-06 17:00:36,東京真中 - ポッペンキュート feat. 重音テト,63731,2309
2026-08-06 18:00:37,東京真中 - ポッペンキュート feat. 重音テト,64520,789
2026-08-06 19:00:38,東京真中 - ポッペンキュート feat. 重音テト,65905,1385
2026-08-06 20:00:40,東京真中 - ポッペンキュート feat. 重音テト,67356,1451
2026-08-06 21:00:47,東京真中 - ポッペンキュート feat. 重音テト,69275,1919
2026-08-06 22:00:43,東京真中 - ポッペンキュート feat. 重音テト,71392,2117
2026-08-07 00:05:18,東京真中 - ポッペンキュート feat. 重音テト,75634,4242
2026-08-07 06:14:50,東京真中 - ポッペンキュート feat. 重音テト,82565,6931
2026-08-07 07:00:44,東京真中 - ポッペンキュート feat. 重音テト,83347,782
2026-08-07 08:00:42,東京真中 - ポッペンキュート feat. 重音テト,84264,917
2026-08-07 09:00:34,東京真中 - ポッペンキュート feat. 重音テト,85104,840
2026-08-07 10:00:36,東京真中 - ポッペンキュート feat. 重音テト,85910,806
2026-08-07 11:00:33,東京真中 - ポッペンキュート feat. 重音テト,86823,913
2026-08-07 12:00:34,東京真中 - ポッペンキュート feat. 重音テト,87671,848
2026-08-07 13:00:36,東京真中 - ポッペンキュート feat. 重音テト,88263,592
2026-08-07 14:00:39,東京真中 - ポッペンキュート feat. 重音テト,89536,1273
2026-08-07 15:00:38,東京真中 - ポッペンキュート feat. 重音テト,90794,1258
2026-08-07 16:00:39,東京真中 - ポッペンキュート feat. 重音テト,91735,941
